lem,val
animus,"anger,negative"
announcement,anticipation
anomaly,"fear,negative,surprise"
anonymous,negative
answerable,trust
antagonism,"anger,negative"
anthrax,"disgust,fear,negative,sadness"
antibiotic,positive
antichrist,"anger,disgust,fear,negative"
anticipation,anticipation
anticipatory,anticipation
antidote,"anticipation,positive,trust"
antifungal,"positive,trust"
antipathy,"anger,disgust,negative"
antiseptic,"positive,trust"
antisocial,"anger,disgust,fear,negative,sadness"
antithesis,"anger,negative"
anxiety,"anger,anticipation,fear,negative,sadness"
anxious,"anticipation,fear,negative"
apache,"fear,negative"
apathetic,"negative,sadness"
apathy,"negative,sadness"
aphid,"disgust,negative"
aplomb,positive
apologetic,"positive,trust"
apostle,"positive,trust"
apostolic,trust
appalling,"disgust,fear,negative"
apparition,"fear,surprise"
appeal,anticipation
appendicitis,"fear,negative,sadness"
applause,"joy,positive,surprise,trust"
applicant,anticipation
appreciation,"joy,positive,trust"
apprehend,fear
apprentice,trust
approach,anticipation
approbation,"positive,trust"
appropriation,negative
apt,positive
aptitude,positive
arbiter,trust
archaeology,"anticipation,positive"
archaic,negative
architecture,trust
ardent,"anticipation,joy,positive"
ardor,positive
arduous,negative
argue,"anger,negative"
arid,"negative,sadness"
aristocracy,positive
aristocratic,positive
armed,"anger,fear,negative,positive"
armory,trust
aroma,positive
arouse,"anticipation,positive"
arraignment,"anger,fear,negative,sadness"
array,positive
arrear,negative
arrest,negative
arsenic,"disgust,fear,negative,sadness"
arson,"anger,fear,negative"
art,"anticipation,joy,positive,sadness,surprise"
artillery,"fear,negative"
artisan,positive
ascendancy,positive
ascent,positive
ashamed,"disgust,negative,sadness"
asp,fear
ass,negative
assault,"anger,fear,negative"
assembly,"positive,trust"
assent,positive
assert,"positive,trust"
assessment,"surprise,trust"
assessor,trust
asset,positive
asshole,"anger,disgust,negative"
assignee,trust
assuage,positive
assuredly,trust
astonishingly,"positive,surprise"
astonishment,"joy,positive,surprise"
astray,"fear,negative"
astringent,negative
astrologer,"anticipation,positive"
astronaut,positive
astronomer,"anticipation,positive"
astute,positive
asylum,"fear,negative"
asymmetry,disgust
atheism,negative
atherosclerosis,"fear,negative,sadness"
atom,positive
atrocious,"anger,disgust,negative"
atrocity,"anger,disgust,fear,negative,sadness"
atrophy,"disgust,fear,negative,sadness"
attachment,positive
attempt,anticipation
attorney,"anger,fear,positive,trust"
auction,anticipation
audacity,negative
audience,anticipation
auditor,"fear,trust"
augment,positive
august,positive
aunt,"positive,trust"
aura,positive
auspicious,"anticipation,joy,positive"
authoritative,"positive,trust"
autocratic,negative
automatic,trust
autopsy,"disgust,fear,negative,sadness"
avalanche,"fear,negative,sadness,surprise"
avarice,"anger,disgust,negative"
avatar,positive
avenger,"anger,negative"
await,anticipation
award,"anticipation,joy,positive,surprise,trust"
awful,"anger,disgust,fear,negative,sadness"
awkwardness,"disgust,negative"
awry,negative
axiom,trust
axiomatic,trust
ay,positive
aye,positive
baboon,"disgust,negative"
baby,"joy,positive"
babysitter,trust
baccalaureate,positive
backbone,"anger,positive,trust"
backer,trust
backwater,"negative,sadness"
bacteria,"disgust,fear,negative,sadness"
bacterium,"disgust,fear,negative"
badge,trust
badger,"anger,negative"
badly,"negative,sadness"
bailiff,"fear,negative,trust"
bait,"fear,negative,trust"
bale,"fear,negative"
balk,negative
ballad,positive
ballet,positive
ballot,"anticipation,positive,trust"
balm,"anticipation,joy,negative,positive"
balsam,positive
ban,negative
bandit,negative
bane,"anger,disgust,fear,negative"
bang,"anger,disgust,fear,negative,sadness,surprise"
banger,"anger,anticipation,fear,negative,surprise"
bank,trust
banker,trust
bankrupt,"fear,negative,sadness"
bankruptcy,"anger,disgust,fear,negative,sadness"
banquet,"anticipation,joy,positive"
banshee,"anger,disgust,fear,negative,sadness"
barb,"anger,negative"
barbarian,"fear,negative"
bard,positive
barf,disgust
bargain,"positive,trust"
bark,"anger,negative"
bar,negative
barren,"negative,sadness"
barricade,"fear,negative"
barrier,"anger,negative"
barrow,disgust
bartender,trust
barter,trust
base,trust
baseless,negative
basketball,"anticipation,joy,positive"
bastard,"disgust,negative,sadness"
bastion,"anger,positive"
bath,positive
battalion,anger
battery,"anger,negative"
battlefield,"fear,negative"
bawdy,negative
bayonet,"anger,fear,negative"
beach,joy
bear,"anger,fear"
bearer,negative
bearish,"anger,fear"
beast,"anger,fear,negative"
beastly,"disgust,fear,negative"
beat,"anger,fear,negative,sadness"
beautification,"joy,positive,trust"
beautify,"joy,positive"
bedrock,"positive,trust"
bee,"anger,fear"
beer,"joy,positive"
befall,negative
befit,positive
befriend,"joy,positive,trust"
beggar,"negative,sadness"
begin,anticipation
behemoth,"fear,negative"
beholden,negative
belated,negative
belittle,"anger,disgust,fear,negative,sadness"
belligerent,"anger,fear,negative"
bellow,anger
belt,"anger,fear,negative"
bender,negative
benefactor,"positive,trust"
beneficial,positive
benefit,positive
benevolence,"joy,positive,trust"
benign,"joy,positive"
bequest,trust
bereft,negative
berserk,"anger,negative"
berth,positive
bestial,"disgust,fear,negative"
betroth,"anticipation,joy,positive,trust"
betterment,positive
beverage,positive
beware,"anticipation,fear,negative"
biblical,positive
bickering,"anger,disgust,negative"
biennial,anticipation
bier,"fear,negative,sadness"
bile,"anger,disgust,negative"
bilingual,positive
biopsy,"fear,negative"
birch,"anger,disgust,fear,negative"
birth,"anticipation,fear,joy,positive,trust"
birthday,"anticipation,joy,positive,surprise"
birthplace,"anger,negative"
bitch,"anger,disgust,fear,negative,sadness"
bite,negative
bitterly,"anger,disgust,negative,sadness"
bitterness,"anger,disgust,negative,sadness"
bizarre,"negative,surprise"
blackjack,negative
blackmail,"anger,fear,negative"
blame,"anger,disgust,negative"
blameless,positive
bland,negative
blanket,trust
blasphemous,"anger,disgust,negative"
blasphemy,"anger,negative"
blast,"anger,fear,negative,surprise"
blatant,"anger,disgust,negative"
blather,negative
blaze,"anger,negative"
bleak,"negative,sadness"
bleed,"disgust,fear,negative,sadness"
blemish,"anger,disgust,fear,negative,sadness"
blindfold,"anticipation,fear,surprise"
blindly,"negative,sadness"
blister,"disgust,negative"
blitz,surprise
bloated,"disgust,negative"
blob,"disgust,fear,negative"
blockade,"anger,fear,negative,sadness"
bloodless,positive
bloodshed,"anger,disgust,fear,negative,sadness,surprise"
bloodthirsty,"anger,disgust,fear,negative"
bloody,"anger,disgust,fear,negative,sadness"
bloom,"anticipation,joy,positive,trust"
blossom,"joy,positive"
blot,negative
blower,negative
blowout,negative
bluff,negative
blunder,"disgust,negative,sadness"
blush,negative
board,anticipation
bodyguard,"positive,trust"
bog,negative
bogus,"anger,disgust,negative"
boil,"disgust,negative"
boilerplate,negative
boisterous,"anger,anticipation,joy,negative,positive"
bolster,positive
bomber,"fear,sadness"
bonanza,"joy,positive"
bondage,"fear,negative,sadness"
bond,negative
bonne,positive
bonus,"anticipation,joy,positive,surprise"
boo,negative
booby,negative
bookish,positive
bookshop,positive
bookworm,"negative,positive"
boomerang,"anticipation,trust"
boon,positive
booze,negative
boredom,"negative,sadness"
borrower,negative
bottom,"negative,sadness"
bottomless,fear
bind,negative
bouquet,"joy,positive,trust"
bout,"anger,negative"
bovine,"disgust,negative"
bowel,disgust
boxing,anger
boy,"disgust,negative"
boycott,negative
brag,negative
brain,positive
bran,disgust
brandy,negative
bravado,negative
bravery,positive
brawl,"anger,disgust,fear,negative"
brazen,"anger,negative"
breach,negative
break,surprise
breakdown,negative
breakfast,positive
breakneck,negative
breakup,"negative,sadness"
bribe,negative
bribery,"disgust,negative"
bridal,"anticipation,joy,positive,trust"
bride,"anticipation,joy,positive,trust"
bridegroom,"anticipation,joy,positive,trust"
bridesmaid,"joy,positive,trust"
brigade,"fear,negative"
brighten,"joy,positive,surprise,trust"
brightness,positive
brilliant,"anticipation,joy,positive,trust"
brimstone,"anger,fear,negative"
bristle,negative
broadside,"anticipation,negative"
brocade,positive
broil,"anger,negative"
break,"fear,negative,sadness"
break,"anger,fear,negative,sadness"
brothel,"disgust,negative"
brother,"positive,trust"
brotherhood,"positive,trust"
brotherly,"anticipation,joy,positive,trust"
bruise,"anticipation,negative"
brunt,"anger,negative"
brute,"anger,fear,negative,sadness"
buck,"fear,negative,positive,surprise"
buddy,"anticipation,joy,positive,trust"
budget,trust
buffet,"anger,negative"
bug,"disgust,fear,negative"
bugaboo,"anger,fear,negative,sadness"
bugle,anticipation
bulbous,negative
bulldog,positive
bulletproof,positive
bully,"anger,fear,negative"
bum,"disgust,negative,sadness"
bummer,"anger,disgust,negative"
bunker,fear
buoy,positive
burdensome,"fear,negative,sadness"
bureaucracy,"negative,trust"
bureaucrat,"disgust,negative"
burglar,"disgust,fear,negative"
burglary,negative
burial,"anger,fear,negative,sadness"
burke,"anger,disgust,fear,negative,sadness"
burlesque,surprise
burn,"disgust,negative"
bursary,trust
buss,"joy,positive"
bust,"anger,fear,negative"
butcher,"anger,disgust,fear,negative"
butler,"positive,trust"
butt,negative
buttery,positive
buxom,positive
bye,anticipation
bylaw,trust
cab,positive
cabal,"fear,negative"
cabinet,"positive,trust"
cable,surprise
cacophony,"anger,disgust,negative"
cad,"anger,disgust,negative"
cadaver,"disgust,fear,negative,sadness,surprise"
cafe,positive
cage,"negative,sadness"
calamity,sadness
calf,"joy,positive,trust"
callous,"anger,disgust,negative"
call,"anticipation,negative,trust"
calm,positive
campaign,"anger,fear,negative"
canary,positive
cancel,"negative,sadness"
cancer,"anger,disgust,fear,negative,sadness"
candy,positive
cane,"anger,fear"
canker,"anger,disgust,negative"
cannon,"anger,fear,negative"
canon,trust
cap,"anticipation,trust"
capitalist,positive
captain,positive
captor,"fear,negative"
capture,negative
carcass,"disgust,fear,negative,sadness"
carcinoma,"fear,negative,sadness"
cardiomyopathy,"fear,negative,sadness"
career,"anticipation,positive"
carelessness,"anger,disgust,negative"
caress,positive
caretaker,"positive,trust"
caricature,negative
carie,"disgust,negative"
carnage,"anger,disgust,fear,negative,sadness,surprise"
carnal,negative
carnivorous,"fear,negative"
carol,"joy,positive,trust"
cartel,negative
cartridge,fear
cascade,positive
case,"fear,negative,sadness"
cash,"anger,anticipation,fear,joy,positive,trust"
cashier,trust
casket,"fear,negative,sadness"
caste,negative
casualty,"anger,fear,negative,sadness"
cataract,"anticipation,fear,negative,sadness"
catastrophe,"anger,disgust,fear,negative,sadness,surprise"
catch,surprise
catechism,disgust
categorical,positive
cater,positive
cathartic,positive
cathedral,"joy,positive,trust"
catheter,negative
caution,"anger,anticipation,fear,negative"
cautionary,fear
cede,negative
celestial,"anticipation,joy,positive"
cement,"anticipation,trust"
cemetery,"fear,negative,sadness"
censor,"anger,disgust,fear,negative,trust"
censure,negative
center,"positive,trust"
centurion,positive
cerebral,positive
ceremony,"joy,positive,surprise"
certainty,positive
certify,trust
cess,"disgust,negative"
cessation,negative
chaff,"anger,fear,negative"
chafe,negative
chagrin,"disgust,negative,sadness"
chairman,"positive,trust"
chairwoman,"positive,trust"
challenge,"anger,fear,negative"
champion,"anticipation,joy,positive,trust"
chance,surprise
chancellor,trust
change,fear
changeable,"anticipation,surprise"
chant,"anger,anticipation,joy,positive,surprise"
chaos,"anger,fear,negative,sadness"
chaotic,"anger,negative"
chaplain,trust
charade,negative
chargeable,"fear,negative,sadness"
charger,positive
charitable,"anticipation,joy,positive,trust"
charity,"joy,positive"
chart,trust
chase,negative
chasm,fear
chastisement,negative
chastity,"anticipation,positive,trust"
chatter,positive
chatty,negative
cheap,negative
cheat,"anger,disgust,negative"
checklist,"positive,trust"
cheery,"anticipation,joy,positive"
cheesecake,negative
chemist,"positive,trust"
cherish,"anticipation,joy,positive,surprise,trust"
cherry,positive
chicane,"anticipation,negative,surprise,trust"
chicken,fear
chieftain,positive
child,"anticipation,joy,positive"
childhood,"joy,positive"
childish,negative
chilly,negative
chimera,"fear,surprise"
chirp,"joy,positive"
chisel,positive
chivalry,positive
chloroform,negative
chocolate,"anticipation,joy,positive,trust"
choice,positive
choir,"joy,positive,trust"
choke,"anger,negative,sadness"
cholera,"disgust,fear,negative,sadness"
chop,negative
choral,"joy,positive"
chore,negative
chorus,positive
choose,positive
chowder,positive
chronic,"negative,sadness"
chronicle,"positive,trust"
chuckle,"anticipation,joy,positive,surprise,trust"
church,"anticipation,joy,positive,trust"
cider,positive
cigarette,negative
circumcision,positive
circumvention,"negative,positive"
citizen,positive
claimant,"anger,disgust"
clairvoyant,positive
clamor,"anger,anticipation,disgust,negative,surprise"
clan,trust
clap,"anticipation,joy,positive,trust"
clarify,positive
classify,positive
claw,"anger,fear,negative"
clearance,"positive,trust"
clearness,positive
cleave,fear
clerical,"positive,trust"
cliff,fear
climax,"anticipation,joy,positive,surprise,trust"
clock,anticipation
cloister,negative
closeness,"joy,positive,trust"
closure,"anticipation,joy,positive,sadness"
clothe,positive
cloud,"negative,sadness"
clown,"anticipation,joy,positive,surprise"
clue,anticipation
clump,negative
clumsy,"disgust,negative"
coach,trust
coalesce,trust
coalition,positive
coast,positive
coax,trust
cobra,fear
cocaine,"negative,sadness"
coerce,"anger,disgust,fear,negative"
coercion,"anger,disgust,fear,negative,sadness"
coffin,"fear,negative,sadness"
cogent,"positive,trust"
cognitive,positive
coincidence,surprise
coldly,negative
colic,negative
collaborator,trust
collapse,"disgust,fear,negative,sadness"
collateral,trust
collectively,"positive,trust"
collision,"anger,negative"
collusion,"anger,disgust,fear,negative,sadness"
colonel,"positive,trust"
colossal,positive
coma,"fear,negative,sadness"
comatose,"fear,negative,sadness"
combative,"anger,fear,negative"
comfort,"anticipation,joy,positive,trust"
come,anticipation
commentator,positive
commerce,trust
commission,trust
commit,"positive,trust"
commodore,"positive,trust"
commonplace,"anticipation,trust"
commonwealth,"positive,trust"
commotion,"anger,negative"
communion,"joy,positive,trust"
communist,negative
compact,trust
companion,"joy,positive,trust"
compelling,positive
compensate,"anticipation,joy,positive,surprise,trust"
compensatory,positive
competition,"anticipation,negative"
complacency,positive
complain,"anger,negative,sadness"
complaint,"anger,negative"
complement,"anticipation,joy,positive,surprise,trust"
complementary,positive
compliance,"positive,trust"
compliant,positive
compliment,"anticipation,joy,positive,surprise,trust"
compost,"disgust,negative"
composure,positive
comprehend,positive
comprehensive,positive
compress,anger
comptroller,trust
compulsion,"anger,negative"
compulsory,negative
comrade,"positive,trust"
concentric,positive
concern,"fear,sadness"
conciliation,"joy,positive,trust"
conclude,positive
concussion,"anger,negative,sadness"
condescend,negative
condescension,"anger,disgust,negative,sadness"
condolence,"positive,sadness"
condone,positive
conducive,positive
conductivity,positive
confederate,"positive,trust"
conflagration,"anger,fear,negative"
confront,anger
congenial,positive
congestion,negative
conglomerate,trust
congratulatory,"joy,positive"
congregation,"positive,trust"
congress,"disgust,trust"
congressman,trust
congruence,"positive,trust"
conjecture,anticipation
connective,trust
connoisseur,"joy,positive,trust"
conquest,"anger,fear,negative"
conscience,"positive,trust"
conscientious,"positive,trust"
consciousness,positive
consecration,"anticipation,joy,positive,sadness,trust"
consequent,anticipation
consistency,"positive,trust"
console,"positive,sadness"
consonant,positive
consort,trust
conspiracy,fear
constable,trust
constancy,"positive,trust"
constant,"positive,trust"
constantly,trust
consternation,"anger,fear,negative"
constipation,"disgust,negative"
constraint,"anger,fear,negative,sadness"
construct,positive
consul,trust
consult,trust
consummate,positive
contact,positive
contagion,"anticipation,disgust,fear,negative"
contagious,"disgust,fear,negative"
contemplation,positive
contemptuous,"anger,negative"
content,"joy,positive,trust"
contentious,"anger,disgust,fear,negative"
contingent,anticipation
contour,positive
contraband,"anger,disgust,fear,negative"
contract,negative
contradictory,negative
contrary,negative
contrast,negative
contravene,negative
contravention,negative
contribute,positive
contributor,"positive,trust"
convergence,anticipation
convert,positive
conveyancing,trust
coop,"anger,disgust,negative"
cop,"fear,trust"
copy,negative
copycat,"anger,disgust,negative"
core,positive
corpse,"disgust,negative,sadness"
correspondence,"anticipation,positive"
corse,sadness
cosmopolitan,"positive,trust"
cosy,positive
couch,sadness
cough,"disgust,negative"
council,"anticipation,positive,trust"
counsel,"positive,trust"
counsellor,"anger,fear,negative,trust"
counselor,"positive,trust"
count,"positive,trust"
countdown,anticipation
countess,positive
countryman,trust
county,trust
coup,"anger,surprise"
courier,trust
course,negative
court,"anger,anticipation,fear"
courteous,positive
courtesy,positive
courtship,"anticipation,joy,positive,trust"
cove,"anticipation,disgust,fear,joy,positive"
covenant,"positive,trust"
cover,trust
covet,negative
cowardly,"fear,negative"
coy,fear
coyote,fear
crabby,"anger,negative"
cradle,"anticipation,joy,positive,trust"
craft,positive
craftsman,positive
crank,negative
cranky,"anger,negative"
crash,"fear,negative,sadness,surprise"
crawl,"disgust,negative"
craze,"anger,fear,negative"
crazy,"anger,fear,negative,sadness"
creak,negative
cream,"anticipation,joy,positive,surprise"
create,"joy,positive"
creative,positive
creature,"disgust,fear,negative"
credence,"positive,trust"
credential,"positive,trust"
cremation,sadness
crescendo,"anticipation,joy,positive,surprise,trust"
crew,trust
crime,"anger,negative"
cringe,"disgust,fear,negative,sadness"
crisis,negative
crisp,"negative,trust"
critique,positive
critter,disgust
crocodile,fear
crook,negative
cross,"anger,fear,negative,sadness"
crowning,"anticipation,joy,positive,surprise,trust"
crucial,"positive,trust"
cruciate,negative
crucifixion,"anger,disgust,fear,negative,sadness"
crude,"disgust,negative"
cruel,"anger,disgust,fear,negative,sadness"
cruelly,"anger,fear,negative"
cruelty,"anger,disgust,fear,negative,sadness"
crumble,"negative,sadness"
crunch,"anger,negative"
crusade,"anger,fear,negative"
crusty,"disgust,negative"
crypt,"fear,negative,sadness"
crystal,positive
cube,trust
cuckold,"disgust,negative"
cuckoo,negative
cuddle,"joy,positive,trust"
cue,anticipation
culinary,"positive,trust"
cull,negative
culmination,positive
culprit,negative
cult,"fear,negative"
culture,positive
cumbersome,"negative,sadness"
cunning,"negative,positive"
cup,"disgust,fear,negative,sadness"
curable,"positive,trust"
curiosity,"anticipation,positive,surprise"
curl,positive
cursory,negative
cushion,positive
cuss,anger
custodian,trust
custody,trust
customer,positive
cute,positive
cutthroat,"anger,fear,negative"
cut,"anger,disgust,fear,negative,sadness"
cyanide,"fear,negative"
cyclone,"fear,negative,surprise"
cyst,"fear,negative,sadness"
cystic,disgust
cytomegalovirus,"negative,sadness"
dabble,"anger,disgust,negative"
daemon,"anger,disgust,fear,negative,sadness,surprise"
daft,"disgust,negative"
dagger,"fear,negative"
daily,anticipation
dame,"anger,disgust,positive,trust"
damnation,"anger,fear,negative,sadness"
damper,negative
dance,"joy,positive,trust"
dandruff,negative
dandy,"disgust,negative"
dank,disgust
darling,"joy,positive,trust"
dart,fear
dastardly,"anger,disgust,fear,negative"
daughter,"joy,positive"
dawn,"anticipation,joy,positive,surprise,trust"
dazed,negative
deacon,trust
deactivate,negative
deadlock,negative
deadly,"anger,disgust,fear,negative,sadness"
deaf,negative
dear,positive
death,"anger,anticipation,disgust,fear,negative,sadness,surprise"
debacle,"fear,negative,sadness"
debate,positive
debauchery,"disgust,fear,negative"
debenture,anticipation
debris,"disgust,negative"
debt,"negative,sadness"
debtor,negative
decease,"negative,sadness"
decency,positive
decent,positive
declaratory,positive
decomposition,"disgust,fear,negative,sadness"
decoy,surprise
decrease,negative
decrement,negative
decrepit,negative
decry,"anger,negative"
dedication,positive
deduct,negative
deed,trust
defamation,"disgust,fear,negative"
defamatory,"anger,negative"
default,"disgust,fear,negative,sadness"
defense,"anger,anticipation,fear,positive"
defenseless,"fear,negative,sadness"
deference,"positive,trust"
deferral,negative
defiance,"anger,disgust,fear,negative"
defiant,"anger,negative"
deficiency,negative
deficit,negative
definitive,"positive,trust"
defraud,"anger,disgust,negative"
defunct,"negative,sadness"
defy,"anger,fear,negative,sadness,surprise"
degeneracy,"anger,disgust,negative,sadness"
degenerate,negative
degree,positive
delectable,positive
delegate,"positive,trust"
deleterious,"anger,disgust,fear,negative"
deletion,negative
deliberate,positive
delicious,"joy,positive"
delirious,"negative,sadness"
delirium,"disgust,negative,sadness"
deliverance,"anticipation,joy,positive,trust"
delivery,"anticipation,positive"
deluge,"fear,negative,sadness,surprise"
delusion,"anger,fear,negative,sadness"
delusional,"anger,fear,negative"
demented,"fear,negative"
dementia,"fear,negative,sadness"
demise,"fear,negative,sadness"
democracy,positive
demolish,"anger,negative,sadness"
demolition,negative
demoralize,"fear,negative,sadness"
denial,negative
denounce,"anger,disgust,negative"
dentistry,fear
denunciation,"anger,disgust,fear,negative"
departure,"negative,sadness"
depository,trust
deprivation,"anger,disgust,fear,negative,sadness"
depth,"positive,trust"
deputy,trust
deranged,"anger,disgust,fear,negative"
derelict,negative
derision,"anger,disgust,negative"
dermatologist,trust
derogation,"anger,disgust,fear,negative,sadness"
derogatory,"anger,disgust,fear,negative,sadness"
descent,"fear,sadness"
descriptive,positive
desecration,"anger,disgust,fear,negative,sadness"
desist,"anger,disgust,negative"
desolation,"fear,negative,sadness"
desperate,negative
despicable,"anger,disgust,negative"
despise,"anger,disgust,negative"
destitute,"fear,negative,sadness"
detachment,negative
detention,"negative,sadness"
detest,"anger,disgust,negative"
detract,"anger,negative"
detritus,negative
develop,"anticipation,positive"
deviation,sadness
devil,"anger,anticipation,disgust,fear,negative,sadness"
devilish,"disgust,fear,negative"
devious,negative
devolution,negative
devotional,"positive,trust"
devour,negative
devout,"anticipation,joy,positive,trust"
dexterity,positive
diabolical,"anger,disgust,fear,negative"
diagnosis,"anticipation,fear,negative,trust"
diamond,"joy,positive"
diaper,disgust
diarrhoea,disgust
diary,"joy,positive,trust"
diatribe,"anger,disgust,negative"
dictator,"fear,negative"
dictatorial,"anger,negative"
dictatorship,"anger,anticipation,disgust,fear,negative,sadness"
dictionary,"positive,trust"
dictum,trust
didactic,positive
dietary,"anticipation,positive"
differential,trust
differently,surprise
difficult,fear
digit,trust
dignified,positive
dignity,"positive,trust"
digress,"anticipation,negative"
dike,fear
dilapidate,"disgust,negative,sadness"
diligence,"positive,trust"
dilute,negative
din,negative
dinner,positive
dinosaur,fear
diplomacy,"anticipation,positive,trust"
diplomatic,"positive,trust"
dire,"disgust,fear,negative,sadness,surprise"
director,"positive,trust"
dirt,"disgust,negative"
dirty,"disgust,negative"
disaffect,negative
disallow,"anger,disgust,fear,negative,sadness"
disappear,fear
disaster,"anger,disgust,fear,negative,sadness,surprise"
disastrous,"anger,fear,negative,sadness"
disbelieve,negative
discard,negative
discharge,negative
disciple,trust
discipline,"fear,negative"
disclaim,"anger,disgust,negative,trust"
disclose,trust
discomfort,"negative,sadness"
discontent,"anger,disgust,fear,negative,sadness"
discord,"anger,disgust,negative"
discovery,positive
discredit,negative
discreet,"anticipation,positive"
discretion,"anticipation,positive,trust"
discretionary,positive
discussion,positive
disdain,"anger,disgust,negative"
disembodied,"fear,negative,sadness"
disengagement,negative
disfigure,"anger,disgust,fear,negative,sadness"
disgruntled,"anger,disgust,negative,sadness"
dishonest,"anger,disgust,negative,sadness"
dishonesty,"disgust,negative"
dishonor,"anger,disgust,fear,negative,sadness"
disillusionment,"anger,disgust,negative,sadness"
disinfection,positive
disinformation,"anger,fear,negative"
disingenuous,"disgust,negative"
disinterested,negative
dislocate,"anger,disgust,fear,negative,sadness"
dismal,"disgust,fear,negative,sadness"
dismay,"anger,anticipation,fear,negative,sadness,surprise"
dismemberment,"disgust,fear,negative,sadness"
dismissal,"anger,disgust,fear,negative,sadness,surprise"
disobey,"anger,disgust,negative"
disorder,"fear,negative"
disorderly,negative
disorganized,negative
disparity,"anger,disgust,negative,sadness"
dispassionate,"negative,sadness"
dispel,"negative,sadness"
dispersion,negative
displeased,"anger,disgust,fear,negative,sadness"
displeasure,"disgust,negative"
dispossess,"anger,fear,negative,sadness"
dispute,"anger,negative"
disqualification,negative
disreputable,"anger,disgust,fear,negative"
disruption,"anger,fear,negative,surprise"
dissatisfaction,negative
dissection,disgust
disseminate,positive
dissension,"anger,negative"
dissent,negative
disservice,"anger,disgust,negative,sadness"
dissident,"anger,fear,negative"
dissolution,"anger,fear,negative,sadness,surprise"
dissonance,"anger,negative"
distillation,positive
distinction,positive
distraught,"negative,sadness"
distrust,"anger,disgust,fear,negative"
ditty,"joy,positive"
divan,trust
divergent,"negative,surprise"
diversify,positive
divorce,"anger,disgust,fear,negative,sadness,surprise,trust"
dock,negative
doctor,"positive,trust"
doctrine,trust
doer,positive
dog,positive
dogma,trust
doit,negative
doldrum,"negative,sadness"
dole,"negative,sadness"
doll,joy
dolor,"negative,sadness"
dolphin,"joy,positive,surprise,trust"
dominion,"fear,trust"
don,"positive,trust"
donation,positive
donkey,"disgust,negative"
doodle,negative
doomsday,"anger,anticipation,disgust,fear,negative,sadness"
doubtless,"positive,trust"
douche,negative
dour,negative
dove,"anticipation,joy,positive,trust"
